"video_game_id";"video_game_active";"video_game_title";"video_game_genre";"video_game_console";"video_game_developer";"video_game_publisher";"video_game_release_date"
1;"1";"Fallout 4";"Action RPG";"|Playstation 4|Xbox One|";"Bethesda Game Studios";"Bethesda Softworks";"11-10-2016"
2;"1";"Final Fantasy XII";"RPG";"|Playstation|Playstation 2|";"Square Enix";"Square Enix";"01-31-1997"
3;"1";"Uncharted 4: A Thief's End";"	Action Adventure";"|Playstation 4|";"	Naughty Dog";"Sony Interactive Entertainment";"05-10-2016"
4;"1";"Destiny";"FPS";"|Playstaion 3|Playstation 4|Xbox 360|Xbox One|";"Bungie";"Activision";"09-09-2014"
5;"1";"Overwatch";"FPS";"|PC|Playstation 4|Xbox One|";"Blizzard Entertainment";"Blizzard Entertainment";"05-24-2016"
6;"1";"The Witcher 3: Wild Hunt";"Action RPG";"|PC|Playstation 4|Xbox One|";"CD Projekt RED";"CD Projekt";"05-19-2015"
7;"1";"Resident Evil";"Survival Horror";"|PC|Playstation|Sega Saturn|";"Capcom";"Capcom";"05-22-1996"
8;"1";"BioShock";"FPS";"|PC|Playstation 3|Playstation 4|Xbox 360|Xbox One|";"2K";"2K";"08-21-2007"
9;"1";"Halo: Combat Evolved";"FPS";"|PC|Xbox|";"Bungie";"Microsoft Game Studios";"11-15-2001"
10;"1";"Super Smash Bros. Melee";"Fighting";"|GameCube|";"HAL Laboratory";"Nintendo";"12-03-2001"
17;"1";"test";"test";"|PC|";"Infinity Ward";"Activision";""
